Rank,Song Name,Minutes Played
1,Brazil,416
2,Ghost Town,385
3,Still Not a Player,359
4,Ride Wit Me,321
5,Disparate Youth,314
6,Dog Days Are Over,306
7,Last Call,303
8,Alright,293
9,Why Do You Feel So Down,282
10,I ,278
11,Otis,265
12,Expectation,252
13,Heart Of Glass,251
14,Why I Love You,250
15,Mercury,244
16,Family Business,239
17,Eventually,228
18,Heart Of The City (Ain't No Love),223
19,Pursuit Of Happiness,218.3
20,A Letter To My Younger Self,218.2
21,All The Stars,216.8
22,Alter Ego,216.6
23,Lift Off,212
24,Sometimes,211.94
25,Gorgeous,211.9
26,Stan,210
27,Notion,209
28,Money Trees,207
39,Bad Habit,206
30,I'm Full,205










32,Virtual Insanity - Remastered 2006,200
33,Jesus Lord,199
34,Runaway,197.4
35,It's A Shame,197.1
36,97 Avalon,195
37,(Don't Fear) The Reaper,194
38,Don't Wanna Fall In Love,193
39,Electric Feel,191.8
40,Rocket Fuel (feat. De La Soul),191.4
41,British Bombs,187.7
42,I Wish,187.1
43,The Key to Life on Earth,185
44,Cupid's Chokehold / Breakfast in America,184.7
45,Am I High Rn (feat. blackbear),184.2
46,I'm Full,205
47,Virtual Insanity - Remastered 2006,200
48,Jesus Lord,199
49,Runaway,197.4
50,It's A Shame,197.1
51,97 Avalon,195
52,(Don't Fear) The Reaper,194
53,Don't Wanna Fall In Love,193
54,Electric Feel,191.8
55,Rocket Fuel (feat. De La Soul),191.4
56,British Bombs,187.7
57,I Wish,187.1
58,The Key to Life on Earth,185
59,Cupid's Chokehold / Breakfast in America,184.7
60,Am I High Rn (feat. blackbear),184.2
61,Once in a Lifetime,183
62,Looking Out for You,182.7
63,IOU,182.4
64,Ultralight Beam,181
65,Through The Wire,178
66,No Church In The Wild,173
67,Peace of Mind,173.02
68,Make Her Say,173
69,No Role Modelz,172
70,Baby Blue - Remastered 2010,170.1
71,Prisencolinensinainciusol,170
72,Everything I Need,169
73,Remember When,168
74,Gorgeous,167.8
75,G.O.M.D,167.2
76,Sundress,166.5
77,Devil In A New Dress,166
78,Lisztomania,165.3
79,Homecoming,165
80,Hallelujah,164
81,Collard Greens,163
82,Where'd All the Time Go?,162
83,No Problem (feat. Lil Wayne & 2 Chainz),161.8
84,Cold as Ice,161.1
85,Feels So Nice,159.9
86,Devil's Advocate,159.8
87,Runaway - Album Version (Edited),158
88,She Knows (feat. Amber Coffman & Cults),157
89,Come a Little Closer,156.5
90,Gospel,156.2
91,House Of The Rising Sun,155
92,Common (with Big Sean),154
93,OK,152
94,Knockout,151.5
95,Photo ID (with Dominic Fike),151.1
96,Self Care,148
97,4:44,146
98,Free Bird,144.6
99,Carry on Wayward Son,144
100,Runnin',143
